event,match_id,date,year,round,team,opponent,score,opponent_score,result,rating_before,rating_after,rating_change
match,1,2025-03-07T08:40:00+00:00,2025,OR,Sydney,Hawthorn,76.0,96.0,loss,1566.9939447998158,1561.2009989786675,-5.792945821148313
match,1,2025-03-07T08:40:00+00:00,2025,OR,Hawthorn,Sydney,96.0,76.0,win,1515.3849078048577,1521.177853626006,5.792945821148313
match,2,2025-03-09T04:20:00+00:00,2025,OR,Greater Western Sydney,Collingwood,104.0,52.0,win,1520.3530590003559,1525.3563404265458,5.003281426190004
match,2,2025-03-09T04:20:00+00:00,2025,OR,Collingwood,Greater Western Sydney,52.0,104.0,loss,1526.5653113067474,1521.5620298805575,-5.003281426190004
match,3,2025-03-13T08:30:00+00:00,2025,1,Richmond,Carlton,82.0,69.0,win,1411.7197220949595,1416.0135354248557,4.293813329896173
match,3,2025-03-13T08:30:00+00:00,2025,1,Carlton,Richmond,69.0,82.0,loss,1519.8327633827946,1515.5389500528984,-4.293813329896173
match,4,2025-03-14T08:40:00+00:00,2025,1,Hawthorn,Essendon,111.0,85.0,win,1521.177853626006,1524.672480602126,3.4946269761198816
match,4,2025-03-14T08:40:00+00:00,2025,1,Essendon,Hawthorn,85.0,111.0,loss,1482.9547166370903,1479.4600896609704,-3.4946269761198816
match,5,2025-03-15T02:20:00+00:00,2025,1,Geelong,Fremantle,147.0,69.0,win,1545.34457354294,1550.203923405735,4.85934986279502
match,5,2025-03-15T02:20:00+00:00,2025,1,Fremantle,Geelong,69.0,147.0,loss,1513.2398378390562,1508.3804879762613,-4.85934986279502
match,6,2025-03-15T05:15:00+00:00,2025,1,Sydney,Brisbane Lions,82.0,86.0,loss,1561.2009989786675,1558.7541399069785,-2.446859071688972
match,6,2025-03-15T05:15:00+00:00,2025,1,Brisbane Lions,Sydney,86.0,82.0,win,1578.2642881449297,1580.7111472166187,2.446859071688972
match,7,2025-03-15T08:35:00+00:00,2025,1,Collingwood,Port Adelaide,136.0,45.0,win,1521.5620298805575,1527.3829668935687,5.820937013011251
match,7,2025-03-15T08:35:00+00:00,2025,1,Port Adelaide,Collingwood,45.0,136.0,loss,1530.9319234256288,1525.1109864126176,-5.820937013011251
match,8,2025-03-15T08:35:00+00:00,2025,1,Western Bulldogs,North Melbourne,113.0,97.0,win,1536.8127796627841,1538.6169478775605,1.8041682147763771
match,8,2025-03-15T08:35:00+00:00,2025,1,North Melbourne,Western Bulldogs,97.0,113.0,loss,1377.9038477852594,1376.099679570483,-1.8041682147763771
match,9,2025-03-16T01:35:00+00:00,2025,1,Adelaide,St Kilda,135.0,72.0,win,1478.838216327693,1484.352402619191,5.514186291498039
match,9,2025-03-16T01:35:00+00:00,2025,1,St Kilda,Adelaide,72.0,135.0,loss,1499.4066139828485,1493.8924276913506,-5.514186291498039
match,10,2025-03-16T04:20:00+00:00,2025,1,Melbourne,Greater Western Sydney,74.0,77.0,loss,1523.474871056004,1521.3221812426004,-2.1526898134035712
match,10,2025-03-16T04:20:00+00:00,2025,1,Greater Western Sydney,Melbourne,77.0,74.0,win,1525.3563404265458,1527.5090302399494,2.1526898134035712
match,11,2025-03-16T07:10:00+00:00,2025,1,West Coast,Gold Coast,49.0,136.0,loss,1393.9372392151581,1387.6701104725869,-6.267128742571329
match,11,2025-03-16T07:10:00+00:00,2025,1,Gold Coast,West Coast,136.0,49.0,win,1478.0413845368653,1484.3085132794365,6.267128742571329
match,12,2025-03-20T08:30:00+00:00,2025,2,Carlton,Hawthorn,60.0,80.0,loss,1515.5389500528984,1510.4764353742034,-5.062514678695018
match,12,2025-03-20T08:30:00+00:00,2025,2,Hawthorn,Carlton,80.0,60.0,win,1524.672480602126,1529.7349952808208,5.062514678695018
match,13,2025-03-21T08:40:00+00:00,2025,2,Western Bulldogs,Collingwood,70.0,76.0,loss,1538.6169478775605,1535.3819590523349,-3.234988825225734
match,13,2025-03-21T08:40:00+00:00,2025,2,Collingwood,Western Bulldogs,76.0,70.0,win,1527.3829668935687,1530.6179557187943,3.234988825225734
match,14,2025-03-22T02:20:00+00:00,2025,2,Essendon,Adelaide,100.0,161.0,loss,1479.4600896609704,1472.325059620152,-7.1350300408184655
match,14,2025-03-22T02:20:00+00:00,2025,2,Adelaide,Essendon,161.0,100.0,win,1484.352402619191,1491.4874326600095,7.1350300408184655
match,15,2025-03-22T05:15:00+00:00,2025,2,Port Adelaide,Richmond,140.0,68.0,win,1525.1109864126176,1528.6373125419116,3.526326129294015
match,15,2025-03-22T05:15:00+00:00,2025,2,Richmond,Port Adelaide,68.0,140.0,loss,1416.0135354248557,1412.4872092955618,-3.526326129294015
match,16,2025-03-22T08:35:00+00:00,2025,2,St Kilda,Geelong,98.0,91.0,win,1493.8924276913506,1496.7586905432254,2.866262851874857
match,16,2025-03-22T08:35:00+00:00,2025,2,Geelong,St Kilda,91.0,98.0,loss,1550.203923405735,1547.3376605538601,-2.866262851874857
match,17,2025-03-23T02:10:00+00:00,2025,2,Brisbane Lions,West Coast,94.0,75.0,win,1580.7111472166187,1582.3522845161249,1.6411372995061484
match,17,2025-03-23T02:10:00+00:00,2025,2,West Coast,Brisbane Lions,75.0,94.0,loss,1387.6701104725869,1386.0289731730807,-1.6411372995061484
match,18,2025-03-23T04:20:00+00:00,2025,2,North Melbourne,Melbourne,125.0,66.0,win,1376.099679570483,1383.68167437798,7.581994807497008
match,18,2025-03-23T04:20:00+00:00,2025,2,Melbourne,North Melbourne,66.0,125.0,loss,1521.3221812426004,1513.7401864351034,-7.581994807497008
match,19,2025-03-23T07:10:00+00:00,2025,2,Fremantle,Sydney,65.0,68.0,loss,1508.3804879762613,1506.4827001163114,-1.8977878599497549
match,19,2025-03-23T07:10:00+00:00,2025,2,Sydney,Fremantle,68.0,65.0,win,1558.7541399069785,1560.6519277669283,1.8977878599497549
match,20,2025-03-27T08:30:00+00:00,2025,3,Essendon,Port Adelaide,72.0,60.0,win,1472.325059620152,1475.9434537064692,3.6183940863172555
match,20,2025-03-27T08:30:00+00:00,2025,3,Port Adelaide,Essendon,60.0,72.0,loss,1528.6373125419116,1525.0189184555943,-3.6183940863172555
match,21,2025-03-28T08:40:00+00:00,2025,3,Carlton,Western Bulldogs,75.0,83.0,loss,1510.4764353742034,1507.0863655448927,-3.3900698293106557
match,21,2025-03-28T08:40:00+00:00,2025,3,Western Bulldogs,Carlton,83.0,75.0,win,1535.3819590523349,1538.7720288816456,3.3900698293106557
match,22,2025-03-29T02:20:00+00:00,2025,3,Melbourne,Gold Coast,62.0,120.0,loss,1513.7401864351034,1506.12272769522,-7.617458739883321
match,22,2025-03-29T02:20:00+00:00,2025,3,Gold Coast,Melbourne,120.0,62.0,win,1484.3085132794365,1491.92597201932,7.617458739883321
match,23,2025-03-29T05:15:00+00:00,2025,3,St Kilda,Richmond,135.0,53.0,win,1496.7586905432254,1500.7888230496958,4.030132506470505
match,23,2025-03-29T05:15:00+00:00,2025,3,Richmond,St Kilda,53.0,135.0,loss,1412.4872092955618,1408.4570767890914,-4.030132506470505
match,24,2025-03-29T08:35:00+00:00,2025,3,Brisbane Lions,Geelong,70.0,61.0,win,1582.3522845161249,1584.7310056240403,2.378721107915393
match,24,2025-03-29T08:35:00+00:00,2025,3,Geelong,Brisbane Lions,61.0,70.0,loss,1547.3376605538601,1544.9589394459447,-2.378721107915393
match,25,2025-03-29T08:35:00+00:00,2025,3,Hawthorn,Greater Western Sydney,76.0,64.0,win,1529.7349952808208,1532.7441119881364,3.0091167073154863
match,25,2025-03-29T08:35:00+00:00,2025,3,Greater Western Sydney,Hawthorn,64.0,76.0,loss,1527.5090302399494,1524.4999135326339,-3.0091167073154863
match,26,2025-03-30T04:20:00+00:00,2025,3,Adelaide,North Melbourne,114.0,78.0,win,1491.4874326600095,1494.4263793005016,2.9389466404921656
match,26,2025-03-30T04:20:00+00:00,2025,3,North Melbourne,Adelaide,78.0,114.0,loss,1383.68167437798,1380.742727737488,-2.9389466404921656
match,27,2025-03-30T07:10:00+00:00,2025,3,West Coast,Fremantle,68.0,106.0,loss,1386.0289731730807,1381.5465990540947,-4.48237411898589
match,27,2025-03-30T07:10:00+00:00,2025,3,Fremantle,West Coast,106.0,68.0,win,1506.4827001163114,1510.9650742352974,4.48237411898589
match,28,2025-04-03T08:30:00+00:00,2025,4,Collingwood,Carlton,63.0,46.0,win,1530.6179557187943,1533.8071907284013,3.1892350096070463
match,28,2025-04-03T08:30:00+00:00,2025,4,Carlton,Collingwood,46.0,63.0,loss,1507.0863655448927,1503.8971305352857,-3.1892350096070463
match,29,2025-04-04T08:40:00+00:00,2025,4,Geelong,Melbourne,85.0,46.0,win,1544.9589394459447,1548.9034845125611,3.9445450666163553
match,29,2025-04-04T08:40:00+00:00,2025,4,Melbourne,Geelong,46.0,85.0,loss,1506.12272769522,1502.1781826286035,-3.9445450666163553
match,30,2025-04-05T02:20:00+00:00,2025,4,Gold Coast,Adelaide,91.0,90.0,win,1491.92597201932,1492.650007318053,0.7240352987331501
match,30,2025-04-05T02:20:00+00:00,2025,4,Adelaide,Gold Coast,90.0,91.0,loss,1494.4263793005016,1493.7023440017686,-0.7240352987331501
match,31,2025-04-05T05:15:00+00:00,2025,4,Richmond,Brisbane Lions,90.0,118.0,loss,1408.4570767890914,1405.1127426910416,-3.34433409804977
match,31,2025-04-05T05:15:00+00:00,2025,4,Brisbane Lions,Richmond,118.0,90.0,win,1584.7310056240403,1588.0753397220901,3.34433409804977
match,32,2025-04-05T08:35:00+00:00,2025,4,North Melbourne,Sydney,52.0,117.0,loss,1380.742727737488,1376.5569127204708,-4.185815017017213
match,32,2025-04-05T08:35:00+00:00,2025,4,Sydney,North Melbourne,117.0,52.0,win,1560.6519277669283,1564.8377427839455,4.185815017017213
match,33,2025-04-06T03:10:00+00:00,2025,4,Greater Western Sydney,West Coast,132.0,51.0,win,1524.4999135326339,1527.639416645888,3.139503113254279
match,33,2025-04-06T03:10:00+00:00,2025,4,West Coast,Greater Western Sydney,51.0,132.0,loss,1381.5465990540947,1378.4070959408405,-3.139503113254279
match,34,2025-04-06T05:20:00+00:00,2025,4,Port Adelaide,St Kilda,72.0,89.0,loss,1525.0189184555943,1519.8525921416394,-5.166326313954786
match,34,2025-04-06T05:20:00+00:00,2025,4,St Kilda,Port Adelaide,89.0,72.0,win,1500.7888230496958,1505.9551493636507,5.166326313954786
match,35,2025-04-06T07:10:00+00:00,2025,4,Fremantle,Western Bulldogs,97.0,81.0,win,1510.9650742352974,1514.6706082346502,3.705533999352742
match,35,2025-04-06T07:10:00+00:00,2025,4,Western Bulldogs,Fremantle,81.0,97.0,loss,1538.7720288816456,1535.0664948822928,-3.705533999352742
match,36,2025-04-10T09:40:00+00:00,2025,5,Adelaide,Geelong,100.0,119.0,loss,1493.7023440017686,1489.3003892109818,-4.401954790786613
match,36,2025-04-10T09:40:00+00:00,2025,5,Geelong,Adelaide,119.0,100.0,win,1548.9034845125611,1553.3054393033478,4.401954790786613
match,37,2025-04-11T09:40:00+00:00,2025,5,Collingwood,Sydney,109.0,78.0,win,1533.8071907284013,1538.4794650303388,4.67227430193753
match,37,2025-04-11T09:40:00+00:00,2025,5,Sydney,Collingwood,78.0,109.0,loss,1564.8377427839455,1560.165468482008,-4.67227430193753
match,38,2025-04-12T02:35:00+00:00,2025,5,North Melbourne,Gold Coast,89.0,141.0,loss,1376.5569127204708,1371.5918890161552,-4.96502370431557
match,38,2025-04-12T02:35:00+00:00,2025,5,Gold Coast,North Melbourne,141.0,89.0,win,1492.650007318053,1497.6150310223686,4.96502370431557
match,39,2025-04-12T03:20:00+00:00,2025,5,Carlton,West Coast,121.0,50.0,win,1503.8971305352857,1507.1757024361148,3.278571900829112
match,39,2025-04-12T03:20:00+00:00,2025,5,West Coast,Carlton,50.0,121.0,loss,1378.4070959408405,1375.1285240400114,-3.278571900829112
match,40,2025-04-12T06:15:00+00:00,2025,5,Western Bulldogs,Brisbane Lions,97.0,118.0,loss,1535.0664948822928,1530.48163703227,-4.584857850022671
match,40,2025-04-12T06:15:00+00:00,2025,5,Brisbane Lions,Western Bulldogs,118.0,97.0,win,1588.0753397220901,1592.6601975721128,4.584857850022671
